company_id,company_name,website,linkedin_company_url,hq_country,hq_city,employee_count,founded,icp_tier,fit_score,why_now,buying_trigger,tech_stack_detected,compliance_regime,procurement_model,last_funding_stage,last_funding_date,funding_raised_usd,net_new_arr_potential,expansion_signal,analyst_coverage,pricing_page_url,renewal_month,owner_email,confidence,sourced_from,research_notes
NW-001,Northwind Traders,https://northwind.example,https://www.linkedin.com/company/northwind-traders,United States,Seattle,512,2011-04-02,Tier 1,92,"Replaced their VP Ops in January and the new hire has published twice about consolidating their freight tooling.",new executive,Snowflake; dbt; Looker,SOC 2; ISO 27001,Top-down,Series C,2024-03-01,48000000,240000,true,yes,https://northwind.example/pricing,March,dana.okonkwo@ourco.example,0.91,LLM research pass 2,"Two competing vendors named on their careers page. Strongest single account in the list."
CT-002,Contoso Manufacturing,https://contoso.example,,United States,Cleveland,"1,001-5,000",2004-09-15,Tier 1,88,"Opened a second plant in Q4 and the ops team tripled headcount against a flat IT budget.",capacity expansion,SAP; Kafka,ISO 9001,Top-down,Private,,,180000,true,yes,https://contoso.example/pricing,September,dana.okonkwo@ourco.example,0.84,LLM research pass 2,"Headcount arrived as a band from the source and was never normalised."
FB-003,Fabrikam Retail,http://www.fabrikam.example,https://www.linkedin.com/company/fabrikam-retail,United Kingdom,Manchester,88,2019-01-30,Tier 2,71,"Moved off a legacy POS in the spring and are visibly rebuilding their data stack around it.",platform migration,Shopify; Fivetran; BigQuery,PCI DSS,PLG,Series A,03/15/2024,"$8,500,000",60000,false,no,https://fabrikam.example/pricing,January,raul.espinoza@ourco.example,0.77,LLM research pass 1,"Date arrived in US format while every other row is ISO."
TS-004,Tailspin Toys,https://tailspin.example,,Canada,Toronto,240,2015-03-03,Tier 2,64,"Seasonal business with a hard Q3 planning cycle; every tool decision lands between June and August.",seasonal planning cycle,NetSuite; Power BI,,Channel,Seed,Q3 2024,12000000,45000,unknown,no,tailspin.example/pricing,July,raul.espinoza@ourco.example,0.62,LLM research pass 1,"Funding date came back as a quarter. Pricing URL has no scheme."
WG-005,Woodgrove Bank,,https://www.linkedin.com/company/woodgrove-bank,United States,Charlotte,4100,1998-06-01,Tier 1,95,"Regulatory remediation programme running through next year with a named budget line.",regulatory programme,Oracle; Informatica; Tableau,SOC 2; HIPAA; GLBA,Top-down,Public,,,520000,true,yes,https://woodgrove.example/pricing,December,dana.okonkwo@ourco.example,0.88,LLM research pass 2,"No website anywhere in the source. LinkedIn is the only identifier this row carries."
LW-006,Litware Systems,,,Germany,Munich,33,2021-11-11,Tier 3,38,"Small and early. Included for completeness rather than because anyone thinks it is ready.",none identified,,,PLG,Seed,2023-08-20,900000,9000,false,no,,,raul.espinoza@ourco.example,0.31,LLM research pass 1,"Neither a website nor a LinkedIn URL. Nothing here can identify the company to Clay."
NW-007,Northwind Traders Europe,https://NORTHWIND.example/,,Netherlands,Amsterdam,64,2015-03-03,Tier 2,58,"European subsidiary of the Seattle parent; runs its own procurement but shares the domain.",subsidiary autonomy,Snowflake; dbt,ISO 27001,Top-down,Series C,2024-03-01,48000000,55000,false,yes,https://northwind.example/pricing,March,dana.okonkwo@ourco.example,0.55,LLM research pass 2,"Same domain as NW-001 in a different case and with a trailing slash. Distinct row, one Clay record."
AD-008,Adventure Works Logistics,https://adventureworks.example,https://www.linkedin.com/company/adventure-works,Australia,Melbourne,1250,2008-07-19,Tier 1,81,"Signed a national grocery contract in March and are hiring across the whole fulfilment org.",major contract win,Snowflake; Airflow; Looker,ISO 27001,Top-down,Series D,2024-11-05,110000000,310000,true,yes,https://adventureworks.example/pricing,November,priya.raghunathan@ourco.example,0.86,LLM research pass 2,""
PS-009,Proseware Health,https://proseware.example,https://www.linkedin.com/company/proseware-health,United States,Boston,670,2013-02-28,Tier 1,90,"Two of their three clinical systems are end-of-life next year and the replacement has a committee.",end of life system,Epic; Snowflake,SOC 2; HIPAA,Top-down,Series B,2025-01-14,"€8.5M",210000,true,yes,https://proseware.example/pricing,February,priya.raghunathan@ourco.example,0.89,LLM research pass 2,"Funding figure arrived in euros with an M suffix. Nothing normalised it."
FC-010,Fourth Coffee,https://fourthcoffee.example,https://www.linkedin.example/company/fourth-coffee,United States,Portland,310,2016-05-22,Tier 2,66,"Franchise model means every rollout is a negotiation with operators rather than one signature.",franchise rollout,Square; Snowflake,PCI DSS,Channel,Series A,2023-06-30,15000000,72000,false,no,https://fourthcoffee.example/pricing,June,raul.espinoza@ourco.example,0.7,LLM research pass 1,"LinkedIn URL is not a linkedin.com URL. Clay refuses it as a match key, so this row falls through to its domain."
